ENGLISH,SPANISH
Ireland         ,Irlanda         
Iceland         ,Islandia         
Marshall Islands         ,Islas Marshall         
Solomon Islands         ,Islas Salomón         
Israel         ,Israel         
Italy         ,Italia         
Jamaica         ,Jamaica         
Japan         ,Japón         
Jordan         ,Jordania         
Kazakhstan         ,Kazajistán         
Kenya         ,Kenia         
Kyrgyzstan         ,Kirguistán         
Kiribati         ,Kiribati         
Kuwait         ,Kuwait         
Laos         ,Laos         
Lesotho         ,Lesoto         
Latvia         ,Letonia         
Lebanon         ,Líbano         
Liberia         ,Liberia         
Libya         ,Libia         
Liechtenstein         ,Liechtenstein         
Lithuania         ,Lituania         
Luxembourg         ,Luxemburgo         
Madagascar         ,Madagascar         
Malaysia         ,Malasia         
Malawi         ,Malaui         
Maldives         ,Maldivas         
Mali         ,Malí         
Malta         ,Malta         
Morocco         ,Marruecos         
Mauritius         ,Mauricio         
Mauritania         ,Mauritania         
Mexico         ,México         
Micronesia         ,Micronesia         
Moldova         ,Moldavia         
Monaco         ,Mónaco         
Mongolia         ,Mongolia         
Montenegro         ,Montenegro         
Mozambique         ,Mozambique         
Namibia         ,Namibia         
Nauru         ,Nauru         
Nepal         ,Nepal         
Nicaragua         ,Nicaragua         
Niger         ,Níger         
Nigeria         ,Nigeria         
Norway         ,Noruega         
New Zealand         ,Nueva Zelanda         
Oman         ,Omán         
Netherlands         ,Países Bajos         
Pakistan         ,Pakistán         
Palau         ,Palaos         
Panama         ,Panamá         
Papua New Guinea         ,Papúa Nueva Guinea         
Paraguay         ,Paraguay         
Peru         ,Perú         
Poland         ,Polonia         
Portugal         ,Portugal         
United Kingdom         ,Reino Unido         
Central African Republic         ,República Centroafricana         
Czech Republic         ,República Checa         
Republic of Macedonia         ,República de Macedonia         
Republic of the Congo         ,República del Congo         
Democratic Republic of the Congo         ,República Democrática del Congo         
Dominican Republic         ,República Dominicana         
Rwanda         ,Ruanda         
Romania         ,Rumania         
Russia         ,Federación Rusa
Samoa         ,Samoa         
Saint Kitts and Nevis         ,San Cristóbal y Nieves         
San Marino         ,San Marino         
Saint Vincent and the Grenadines         ,San Vicente y las Granadinas         
Saint Lucia         ,Santa Lucía         
Sao Tome and Principe         ,Sao Tomé y Príncipe         
Senegal         ,Senegal         
Serbia         ,Serbia         
Seychelles         ,Seychelles         
Sierra Leone         ,Sierra Leona         
Singapore         ,Singapur         
Syria         ,Siria         
Somalia         ,Somalia         
Sri Lanka         ,Sri Lanka         
Swaziland         ,Suazilandia         
South Africa         ,Sudáfrica         
Sudan         ,Sudán         
South Sudan         ,Sudán del Sur         
Sweden         ,Suecia         
Switzerland         ,Suiza         
Suriname         ,Surinam         
Thailand         ,Tailandia         
Tanzania         ,Tanzania         
Tajikistan         ,Tayikistán         
East Timor         ,Timor Oriental         
Togo         ,Togo         
Tonga         ,Tonga         
Trinidad and Tobago         ,Trinidad y Tobago         
Tunisia         ,Túnez         
Turkmenistan         ,Turkmenistán         
Turkey         ,Turquía         
Tuvalu         ,Tuvalu         
Ukraine         ,Ucrania         
Uganda         ,Uganda         
Uruguay         ,Uruguay         
Uzbekistan         ,Uzbekistán         
Vanuatu         ,Vanuatu         
Venezuela         ,Venezuela         
Vietnam         ,Vietnam         
Yemen         ,Yemen         
Djibouti         ,Yibuti         
Zaire,Zaire
Zambia         ,Zambia         
Zimbabwe         ,Zimbabue         
Djibouti,Djibouti
Guadaloupe,Guadalupe y Dependencias
Guam,Guam
Hong Kong,Hong Kong
Reunion Island,Isla Reunión
Cayman Islands,Islas Caimán
British Virgin Islands,Islas Vírgenes (Reino Unido)
Not Specified,No Especificado
New Caledonia,Nueva Caledonia
French Polynesia,Polinesia Francesa
Puerto Rico,Puerto Rico
Taiwan,Taiwán
French Territories,Territorios Franceses de Ultramar
